&	OTHER
&c.	OTHER
'tamo'	VERB
'tamos	VERB
'tas	VERB
*69	PROPER_NOUN
-(a)	OTHER
-a	OTHER
-aba	OTHER
-abais	OTHER
-aban	OTHER
-abas	OTHER
-able	OTHER
-ables	OTHER
-aca	OTHER
-acanto	OTHER
-acas	OTHER
-acha	OTHER
-acho	OTHER
-achos	OTHER
-aciones	OTHER
-ación	OTHER
-aco	OTHER
-acos	OTHER
-ad	OTHER
-ada	OTHER
-adas	OTHER
-adgo	OTHER
-adgos	OTHER
-ado	OTHER
-ador	OTHER
-adora	OTHER
-adoras	OTHER
-adores	OTHER
-ados	OTHER
-adura	OTHER
-aduras	OTHER
-aja	OTHER
-ajas	OTHER
-aje	OTHER
-ajes	OTHER
-ajo	OTHER
-ajos	OTHER
-al	OTHER
-ala	OTHER
-alas	OTHER
-ales	OTHER
-algia	OTHER
-algias	OTHER
-alos	OTHER
-ambre	OTHER
-ambres	OTHER
-amento	OTHER
-amentos	OTHER
-amiento	OTHER
-amientos	OTHER
-amos	OTHER
-an	OTHER
-ana	OTHER
-anas	OTHER
-ancia	OTHER
-ancias	OTHER
-ando	OTHER
-anga	OTHER
-angas	OTHER
-ano	OTHER
-anos	OTHER
-ante	OTHER
-antes	OTHER
-anza	OTHER
-anzas	OTHER
-ar	OTHER
-ara	OTHER
-arais	OTHER
-aran	OTHER
-aras	OTHER
-arazo	OTHER
-arca	OTHER
-arcas	OTHER
-arda	OTHER
-ardas	OTHER
-ardo	OTHER
-ardos	OTHER
-are	OTHER
-areis	OTHER
-aremos	OTHER
-aren	OTHER
-ares	OTHER
-aria	OTHER
-ario	OTHER
-arios	OTHER
-aron	OTHER
-arquía	OTHER
-arquías	OTHER
-arraco	OTHER
-arracos	OTHER
-arro	OTHER
-ará	OTHER
-arán	OTHER
-arás	OTHER
-aré	OTHER
-aréis	OTHER
-aría	OTHER
-aríais	OTHER
-aríamos	OTHER
-arían	OTHER
-arías	OTHER
-as	OTHER
-asa	OTHER
-asas	OTHER
-ase	OTHER
-aseis	OTHER
-asen	OTHER
-ases	OTHER
-aste	OTHER
-asteis	OTHER
-astra	OTHER
-astras	OTHER
-astro	OTHER
-astros	OTHER
-ata	OTHER
-atas	OTHER
-ato	OTHER
-atorio	OTHER
-atos	OTHER
-ava	OTHER
-avas	OTHER
-avo	OTHER
-avos	OTHER
-aza	OTHER
-azas	OTHER
-azgo	OTHER
-azgos	OTHER
-azo	OTHER
-azos	OTHER
-aña	OTHER
-añas	OTHER
-año	OTHER
-años	OTHER
-bilidad	OTHER
-bilidades	OTHER
-biosis	OTHER
-blasto	OTHER
-blastos	OTHER
-blema	OTHER
-cardio	OTHER
-cardios	OTHER
-cecilla	OTHER
-cecillas	OTHER
-cecillo	OTHER
-cecillos	OTHER
-cecita	OTHER
-cecitas	OTHER
-cecito	OTHER
-cecitos	OTHER
-cefalia	OTHER
-cefalias	OTHER
-centrismo	OTHER
-ceta	OTHER
-cete	OTHER
-cida	OTHER
-cidio	OTHER
-cidios	OTHER
-cigótica	OTHER
-cigóticas	OTHER
-cigótico	OTHER
-cigóticos	OTHER
-cilla	OTHER
-cillas	OTHER
-cillo	OTHER
-cillos	OTHER
-ciones	OTHER
-cita	OTHER
-citas	OTHER
-cito	OTHER
-citos	OTHER
-ción	OTHER
-clasa	OTHER
-cola	OTHER
-cracia	OTHER
-cracias	OTHER
-crata	OTHER
-cratas	OTHER
-crática	OTHER
-cráticas	OTHER
-crático	OTHER
-cráticos	OTHER
-cultor	OTHER
-céfala	OTHER
-céfalas	OTHER
-céfalo	OTHER
-céfalos	OTHER
-céntrica	OTHER
-céntricas	OTHER
-céntrico	OTHER
-céntricos	OTHER
-dad	OTHER
-dades	OTHER
-dera	OTHER
-dermia	OTHER
-dermias	OTHER
-dermo	OTHER
-dero	OTHER
-deros	OTHER
-dor	OTHER
-dora	OTHER
-doras	OTHER
-dores	OTHER
-dromo	OTHER
-dumbre	OTHER
-dumbres	OTHER
-dura	OTHER
-duras	OTHER
-dáctilo	OTHER
-e	OTHER
-ea	OTHER
-eaba	OTHER
-eabais	OTHER
-eaban	OTHER
-eabas	OTHER
-ead	OTHER
-eada	VERB
-eadas	VERB
-eado	VERB
-eados	VERB
-eamos	OTHER
-ean	OTHER
-eando	OTHER
-ear	OTHER
-eara	OTHER
-earais	OTHER
-earan	OTHER
-earas	OTHER
-eare	OTHER
-eareis	OTHER
-earemos	OTHER
-earen	OTHER
-eares	OTHER
-earon	OTHER
-eará	OTHER
-earán	OTHER
-earás	OTHER
-earé	OTHER
-earéis	OTHER
-earía	OTHER
-earíais	OTHER
-earíamos	OTHER
-earían	OTHER
-earías	OTHER
-eas	OTHER
-ease	OTHER
-easeis	OTHER
-easen	OTHER
-eases	OTHER
-easte	OTHER
-easteis	OTHER
-eca	OTHER
-ecas	OTHER
-ece	OTHER
-ecemos	OTHER
-ecen	OTHER
-ecer	OTHER
-eceremos	OTHER
-ecerá	OTHER
-ecerán	OTHER
-ecerás	OTHER
-eceré	OTHER
-eceréis	OTHER
-eceríais	OTHER
-eceríamos	OTHER
-ecerían	OTHER
-ecerías	OTHER
-eces	OTHER
-ecida	VERB
-ecidas	VERB
-ecido	VERB
-ecidos	VERB
-eciendo	OTHER
-eciera	OTHER
-ecierais	OTHER
-ecieran	OTHER
-ecieras	OTHER
-ecieron	OTHER
-eciese	OTHER
-ecieseis	OTHER
-eciesen	OTHER
-ecieses	OTHER
-ecilla	OTHER
-ecillo	OTHER
-ecillos	OTHER
-ecimos	OTHER
-eciste	OTHER
-ecisteis	OTHER
-ecita	OTHER
-ecito	OTHER
-ecitos	OTHER
-eciéramos	OTHER
-eciésemos	OTHER
-eció	OTHER
-eco	OTHER
-ecos	OTHER
-ectomía	OTHER
-ectomías	OTHER
-ecéis	OTHER
-ecés	OTHER
-ecí	OTHER
-ecía	OTHER
-ecíais	OTHER
-ecíamos	OTHER
-ecían	OTHER
-ecías	OTHER
-ed	OTHER
-eda	OTHER
-edad	OTHER
-edades	OTHER
-edas	OTHER
-edo	OTHER
-edor	OTHER
-edora	OTHER
-edoras	OTHER
-edores	OTHER
-edos	OTHER
-edura	OTHER
-eduras	OTHER
-ee	OTHER
-eemos	OTHER
-een	OTHER
-ees	OTHER
-ega	OTHER
-egas	OTHER
-ego	OTHER
-egos	OTHER
-eja	OTHER
-ejas	OTHER
-ejo	OTHER
-ejos	OTHER
-elas	OTHER
-ele	OTHER
-eles	OTHER
-elos	OTHER
-ema	OTHER
-emas	OTHER
-eme	OTHER
-emia	OTHER
-emias	OTHER
-emos	OTHER
-en	OTHER
-ena	OTHER
-enario	OTHER
-enas	OTHER
-encia	OTHER
-encias	OTHER
-enga	OTHER
-engas	OTHER
-engo	OTHER
-engos	OTHER
-eno	OTHER
-enos	OTHER
-ense	OTHER
-ente	OTHER
-entes	ADJECTIVE,NOUN
-ento	OTHER
-enza	OTHER
-eo	OTHER
-eos	OTHER
-er	OTHER
-era	OTHER
-eras	OTHER
-eremos	OTHER
-eriza	OTHER
-erizas	OTHER
-erizo	OTHER
-erizos	OTHER
-erla	OTHER
-erlas	OTHER
-erles	OTHER
-erlo	OTHER
-erlos	OTHER
-erme	OTHER
-ernos	OTHER
-ero	OTHER
-eros	OTHER
-erse	OTHER
-erte	OTHER
-erá	OTHER
-erán	OTHER
-erás	OTHER
-eré	OTHER
-eréis	OTHER
-ería	OTHER
-eríais	OTHER
-eríamos	OTHER
-erían	OTHER
-erías	OTHER
-erío	OTHER
-eríos	OTHER
-es	OTHER
-esa	OTHER
-esas	OTHER
-esca	OTHER
-escas	OTHER
-esco	OTHER
-escos	OTHER
-eses	OTHER
-eta	OTHER
-etazo	OTHER
-ete	OTHER
-etes	OTHER
-eto	OTHER
-etos	OTHER
-ez	OTHER
-eza	OTHER
-ezca	OTHER
-ezcamos	OTHER
-ezcan	OTHER
-ezcas	OTHER
-ezco	OTHER
-ezcáis	OTHER
-ezna	OTHER
-eznas	OTHER
-ezno	OTHER
-eznos	OTHER
-eá	OTHER
-eábamos	OTHER
-eáis	OTHER
-eáramos	OTHER
-eáremos	OTHER
-eás	OTHER
-eásemos	OTHER
-eé	OTHER
-eéis	OTHER
-eés	OTHER
-eña	OTHER
-eñas	OTHER
-eño	OTHER
-eños	OTHER
-eó	OTHER
-faga	OTHER
-fagas	OTHER
-fagia	OTHER
-fagias	OTHER
-fago	OTHER
-fagos	OTHER
-fera	OTHER
-feras	OTHER
-fero	OTHER
-feros	OTHER
-fila	OTHER
-filas	OTHER
-filia	OTHER
-filias	OTHER
-filo	OTHER
-filos	OTHER
-fito	OTHER
-fitos	OTHER
-foba	OTHER
-fobas	OTHER
-fobia	OTHER
-fobias	OTHER
-fobo	OTHER
-fobos	OTHER
-fona	OTHER
-fonas	OTHER
-fono	OTHER
-fonos	OTHER
-fonía	OTHER
-forme	OTHER
-foro	OTHER
-foros	OTHER
-fóbica	OTHER
-fóbicas	OTHER
-fóbico	OTHER
-fóbicos	OTHER
-gamia	OTHER
